Easting [m,Northig [m,Hydro_FT-2D_MAP 2010 [m]
4573810.14,5304309.48,-0.46
4573814.23,5304273.79,-1.19
4573818.35,5304238.10,0.89
4573822.82,5304195.88,0.20
4573827.24,5304153.11,-0.30
4573849.56,5304074.12,-0.45
4573831.65,5304109.82,-0.03
4573792.97,5304338.33,-0.43
4573796.96,5304302.60,-1.04
4573801.00,5304266.88,0.66
4573804.93,5304231.07,0.24
4573809.35,5304188.56,0.11
4573813.75,5304145.52,0.57
4573775.81,5304367.17,-0.39
4573779.69,5304331.40,-0.92
4573783.65,5304295.65,0.48
4573787.56,5304259.85,0.12
4573791.46,5304224.01,0.52
4573795.84,5304181.22,1.25
4573758.65,5304396.02,-0.42
4573762.41,5304360.20,-0.72
4573766.30,5304324.43,0.22
4573770.18,5304288.62,0.05
4573774.06,5304252.79,0.42
4573777.93,5304216.92,2.09
4573741.49,5304424.86,-0.54
4573745.14,5304389.01,-0.56
4573748.95,5304353.20,0.04
4573752.81,5304317.40,-0.02
4573756.66,5304281.56,0.37
4573760.53,5304245.71,1.69
4573726.21,5304454.89,-0.58
4573727.87,5304417.81,-0.34
4573731.60,5304381.98,-0.12
4573735.43,5304346.18,-0.05
4573739.26,5304310.34,0.39
4573743.13,5304274.50,1.22
4573710.93,5304484.92,-0.45
4573712.72,5304447.90,-0.33
4573714.26,5304410.75,-0.14
4573718.06,5304374.95,-0.07
4573721.86,5304339.12,0.29
4573725.72,5304303.29,0.93
4573695.65,5304514.95,-0.26
4573697.57,5304477.99,-0.33
4573699.22,5304440.90,-0.11
4573700.68,5304403.73,-0.03
4573704.46,5304367.90,0.22
4573708.32,5304332.09,0.42
4573684.19,5304471.05,-0.11
4573680.38,5304544.98,-0.06
4573682.42,5304508.09,-0.32
4573685.76,5304433.93,0.03
4573687.06,5304396.68,0.15
4573690.92,5304360.88,0.38
4573670.84,5304464.13,0.04
4573669.16,5304501.20,-0.13
4573667.27,5304538.18,-0.32
4573672.26,5304426.94,0.16
4573673.52,5304389.67,0.04
4573657.45,5304457.19,0.05
4573655.91,5304494.32,0.04
4573654.13,5304531.35,-0.17
4573649.82,5304605.04,0.27
4573652.12,5304568.27,-0.26
4573631.57,5304640.41,0.35
4573658.83,5304419.97,-0.09
4573644.14,5304450.28,-0.16
4573642.65,5304487.44,0.07
4573640.99,5304524.52,-0.01
4573639.10,5304561.50,-0.22
4573636.97,5304598.36,-0.19
4573613.32,5304675.78,0.40
4573618.55,5304633.74,0.00
4573629.44,5304480.59,-0.14
4573627.85,5304517.69,0.04
4573626.07,5304554.72,-0.06
4573624.06,5304591.64,-0.26
4573605.47,5304627.03,-0.19
4573595.07,5304711.15,0.45
4573600.13,5304669.11,0.16
4573614.75,5304510.89,-0.13
4573613.04,5304547.95,0.07
