Easting [m],Northig [m],dz
4573814.23,5304273.79,-1.36
4573818.35,5304238.1,0.65
4573822.82,5304195.88,0.16
4573827.24,5304153.11,0.36
4573849.56,5304074.12,-0.17
4573831.65,5304109.82,0.22
4573792.97,5304338.33,-0.33
4573796.96,5304302.6,-1.16
4573801,5304266.88,0.43
4573804.93,5304231.07,0.2
4573809.35,5304188.56,0.56
4573813.75,5304145.52,0.64
4573775.81,5304367.17,-0.39
4573779.69,5304331.4,-0.81
4573783.65,5304295.65,0.29
4573787.56,5304259.85,0.09
4573791.46,5304224.01,0.85
4573795.84,5304181.22,1.1
4573758.65,5304396.02,-0.37
4573762.41,5304360.2,-0.73
4573766.3,5304324.43,0.15
4573770.18,5304288.62,0.01
4573774.06,5304252.79,0.55
4573777.93,5304216.92,1.73
4573741.49,5304424.86,-0.33
4573745.14,5304389.01,-0.52
4573748.95,5304353.2,-0.03
4573752.81,5304317.4,-0.18
4573756.66,5304281.56,0.19
4573760.53,5304245.71,1.1
4573726.21,5304454.89,-0.31
4573727.87,5304417.81,-0.29
4573731.6,5304381.98,-0.17
4573735.43,5304346.18,-0.37
4573739.26,5304310.34,-0.14
4573743.13,5304274.5,0.68
4573710.93,5304484.92,-0.31
4573712.72,5304447.9,-0.33
4573714.26,5304410.75,-0.31
4573718.06,5304374.95,-0.48
4573721.86,5304339.12,-0.51
4573725.72,5304303.29,0.26
4573695.65,5304514.95,-0.29
4573697.57,5304477.99,-0.37
4573699.22,5304440.9,-0.35
4573700.68,5304403.73,-0.63
4573704.46,5304367.9,-0.74
4573708.32,5304332.09,-0.08
4573684.19,5304471.05,-0.39
4573680.38,5304544.98,-0.26
4573682.42,5304508.09,-0.42
4573685.76,5304433.93,-0.6
4573687.06,5304396.68,-1.03
4573690.92,5304360.88,-0.35
4573670.84,5304464.13,-0.57
4573669.16,5304501.2,-0.42
4573667.27,5304538.18,-0.47
4573672.26,5304426.94,-0.92
4573673.52,5304389.67,-0.29
4573657.45,5304457.19,-0.82
4573655.91,5304494.32,-0.55
4573654.13,5304531.35,-0.46
4573649.82,5304605.04,-0.21
4573652.12,5304568.27,-0.52
4573631.57,5304640.41,-0.09
4573658.83,5304419.97,-0.61
4573644.14,5304450.28,-0.53
4573642.65,5304487.44,-0.72
4573640.99,5304524.52,-0.52
4573639.1,5304561.5,-0.52
4573636.97,5304598.36,-0.57
4573613.32,5304675.78,0.03
4573618.55,5304633.74,-0.46
4573629.44,5304480.59,-0.57
4573627.85,5304517.69,-0.61
4573626.07,5304554.72,-0.5
4573624.06,5304591.64,-0.58
4573605.47,5304627.03,-0.52
4573595.07,5304711.15,-0.03
4573600.13,5304669.11,-0.36
4573614.75,5304510.89,-0.38
4573613.04,5304547.95,-0.5
4573611.15,5304584.92,-0.5
4573592.37,5304620.3,-0.49
4573586.88,5304662.41,-0.48
4573576.82,5304746.52,-0.16
4573581.71,5304704.49,-0.27
4573558.57,5304781.89,-0.11
4573600.06,5304541.2,-0.49
4573598.24,5304578.2,-0.36
4573579.29,5304613.58,-0.44
4573573.59,5304655.68,-0.53
4573568.29,5304697.79,-0.42
4573563.29,5304739.86,-0.17
4573540.71,5304817.44,0
4573544.87,5304775.24,-0.05
4573585.37,5304571.5,-0.42
4573566.22,5304606.88,-0.35
4573560.33,5304648.97,-0.49
4573554.82,5304691.06,-0.56
4573549.7,5304733.18,-0.37
4573522.85,5304852.99,0.14
4573531.11,5304768.56,-0.32
4573526.98,5304810.88,0
4573504.98,5304888.54,0.25
4573547.07,5304642.26,-0.19
4573541.38,5304684.35,-0.54
4573536.04,5304726.44,-0.58
4573509.1,5304846.52,0.06
4573517.27,5304761.83,-0.56
4573513.23,5304804.3,-0.35
4573487.12,5304924.09,0.31
4573491.22,5304882.16,0.12
4573527.93,5304677.65,-0.07
4573522.42,5304719.74,-0.61
4573495.35,5304840.05,-0.38
4573503.47,5304755.13,-0.64
4573499.4,5304797.68,-0.58
4573469.26,5304959.64,0.39
4573473.33,5304917.8,0.17
4573477.47,5304875.79,-0.41
4573508.78,5304713.03,-0.11
4573481.52,5304833.53,-0.67
4573489.63,5304748.41,-0.18
4573485.6,5304791.08,-0.74
4573454.5,5304989.7,0.35
4573455.45,5304953.44,0.22
4573459.58,5304911.53,-0.43
4573463.65,5304869.38,-0.78
4573467.73,5304827.03,-0.86
4573471.77,5304784.47,-0.39
4573439.74,5305019.75,0.13
4573440.93,5304983.64,0.16
4573441.7,5304947.28,-0.46
4573445.78,5304905.24,-0.9
4573449.85,5304862.99,-0.99
4573453.91,5304820.53,-0.1
4573424.98,5305049.8,0.04
4573426.41,5305013.83,0.13
4573410.23,5305079.86,-0.07
4573427.42,5304977.6,-0.41
4573427.91,5304941.09,-1.05
4573431.98,5304898.94,-1.13
4573436.05,5304856.59,-0.22
4573395.47,5305109.91,-0.17
4573411.9,5305044.02,0.13
4573413.14,5305007.92,-0.36
4573397.38,5305074.21,0.17
4573413.87,5304971.54,-1.03
4573414.11,5304934.9,-1.27
4573418.19,5304892.65,-0.11
4573380.71,5305139.97,-0.26
4573382.86,5305104.4,0.15
4573398.86,5305038.24,-0.33
4573399.83,5305002,-1.01
