X,Y,Zexp
0.5,2.595592928,0.037
0.5,2.606622379,0.037
0.5,2.617651829,0.037
0.5,2.628681279,0.037
0.5,2.639710729,0.037
0.5,2.65074018,0.037
0.5,2.66176963,0.036
0.5,2.67279908,0.035
0.5,2.68382853,0.035
0.5,2.69485798,0.035
0.5,2.705887431,0.035
0.5,2.716916881,0.036
0.5,2.727946331,0.036
0.5,2.738975781,0.035
0.5,2.75,0.036
0.6,1.125,0.034
0.6,1.135937546,0.034
0.6,1.146875093,0.034
0.6,1.157812639,0.034
0.6,1.168750185,0.033
0.6,1.179687731,0.034
0.6,1.190625278,0.034
0.6,1.201562824,0.034
0.6,1.21250037,0.035
0.6,1.223437916,0.035
0.6,1.234375463,0.035
0.6,1.245313009,0.036
0.6,1.256250555,0.036
0.6,1.267188101,0.036
0.6,1.278125648,0.035
0.6,1.289063194,0.036
0.6,1.30000074,0.035
0.6,1.310938287,0.035
0.6,1.321875833,0.036
0.6,1.332813379,0.035
0.6,1.343750925,0.036
0.6,1.354688472,0.035
0.6,1.365626018,0.034
0.6,1.376563564,0.035
0.6,1.38750111,0.035
0.6,1.398438657,0.035
0.6,1.409376203,0.036
0.6,1.420313749,0.037
0.6,1.431251295,0.037
0.6,1.442188842,0.037
0.6,1.453126388,0.037
0.6,1.464063934,0.037
0.6,1.47500148,0.037
0.6,1.485939027,0.038
0.6,1.496876573,0.037
0.6,1.507814119,0.038
0.6,1.518751666,0.037
0.6,1.529689212,0.037
0.6,1.540626758,0.037
0.6,1.551564304,0.037
0.6,1.562501851,0.038
0.6,1.573439397,0.038
0.6,1.584376943,0.04
0.6,1.595314489,0.041
0.6,1.606252036,0.041
0.6,1.617189582,0.041
0.6,1.628127128,0.04
0.6,1.639064674,0.04
0.6,1.650002221,0.041
0.6,1.660939767,0.042
0.6,1.671877313,0.042
0.6,1.68281486,0.042
0.6,1.693752406,0.043
0.6,1.704689952,0.042
0.6,1.715627498,0.042
0.6,1.726565045,0.045
0.6,1.737502591,0.048
