X,Y,Zexp
0.8,1.404861446,0.0590
0.8,1.41973991,0.0590
0.8,1.434618374,0.0580
0.8,1.449496838,0.0590
0.8,1.464375302,0.0580
0.8,1.479253765,0.0580
0.8,1.494132229,0.0590
0.8,1.509010693,0.0600
0.8,1.523889157,0.0610
0.8,1.538767621,0.0620
0.8,1.553646085,0.0630
0.8,1.568524548,0.0590
0.8,1.583403012,0.0600
0.8,1.598281476,0.0640
0.8,1.61315994,0.0630
0.8,1.628038404,0.0600
0.8,1.642916868,0.0570
0.8,1.657795332,0.0550
0.8,1.672673795,0.0570
0.8,1.687552259,0.0610
0.8,1.702430723,0.0620
0.8,1.717309187,0.0580
0.8,1.732187651,0.0520
0.8,1.747066115,0.0470
0.8,1.761944578,0.0440
0.8,1.776823042,0.0470
0.8,1.791701506,0.0480
0.8,1.80657997,0.0500
0.8,1.821458434,0.0500
0.8,1.836336898,0.0500
0.8,1.851215362,0.0500
0.8,1.866093825,0.0490
0.8,1.880972289,0.0500
0.8,1.895850753,0.0500
0.8,1.910729217,0.0510
0.8,1.925607681,0.0530
0.8,1.940486145,0.0530
0.8,1.955364608,0.0500
0.8,1.970243072,0.0470
0.8,1.985121536,0.0440
0.8,2,0.0410
0.8,2.014878464,0.0400
0.8,2.029756928,0.0390
0.8,2.044635392,0.0390
0.8,2.059513855,0.0400
0.8,2.074392319,0.0420
0.8,2.089270783,0.0430
0.8,2.104149247,0.0430
0.8,2.119027711,0.0430
0.8,2.133906175,0.0430
0.8,2.148784638,0.0430
0.8,2.163663102,0.0430
0.8,2.178541566,0.0440
0.8,2.19342003,0.0420
0.8,2.208298494,0.0430
0.8,2.223176958,0.0420
0.8,2.238055422,0.0410
0.8,2.252933885,0.0420
0.8,2.267812349,0.0430
0.8,2.282690813,0.0440
0.8,2.297569277,0.0460
0.8,2.312447741,0.0460
0.8,2.327326205,0.0420
0.8,2.342204668,0.0410
0.8,2.357083132,0.0430
0.8,2.371961596,0.0490
0.8,2.38684006,0.0560
0.8,2.401718524,0.0600
0.8,2.416596988,0.0600
0.8,2.431475452,0.0590
0.8,2.446353915,0.0600
0.8,2.461232379,0.0590
0.8,2.476110843,0.0580
0.8,2.490989307,0.0610
0.8,2.505867771,0.0620
0.8,2.520746235,0.0610
0.8,2.535624698,0.0620
0.8,2.550503162,0.0640
0.8,2.565381626,0.0660
0.8,2.58026009,0.0670
0.8,2.595138554,0.0680
0.8,2.610017018,0.0640
0.8,2.624895482,0.0630
0.9,1.312617583,0.0460
0.9,1.327724889,0.0450
0.9,1.342832195,0.0460
0.9,1.357939501,0.0460
0.9,1.373046807,0.0450
0.9,1.388154113,0.0470
0.9,1.403261418,0.0500
0.9,1.418368724,0.0500
0.9,1.43347603,0.0530
0.9,1.448583336,0.0570
0.9,1.463690642,0.0610
0.9,1.478797948,0.0620
0.9,1.493905254,0.0610
0.9,1.509012559,0.0600
0.9,1.524119865,0.0630
0.9,1.539227171,0.0650
0.9,1.554334477,0.0630
0.9,1.569441783,0.0590
0.9,1.584549089,0.0570
0.9,1.599656395,0.0550
0.9,1.614763701,0.0520
0.9,1.629871006,0.0520
0.9,1.644978312,0.0520
0.9,1.660085618,0.0560
0.9,1.675192924,0.0590
0.9,1.69030023,0.0620
0.9,1.705407536,0.0610
0.9,1.720514842,0.0570
0.9,1.735622147,0.0530
0.9,1.750729453,0.0500
0.9,1.765836759,0.0430
0.9,1.780944065,0.0390
0.9,1.796051371,0.0350
0.9,1.811158677,0.0330
0.9,1.826265983,0.0360
0.9,1.841373288,0.0380
0.9,1.856480594,0.0390
0.9,1.8715879,0.0410
0.9,1.886695206,0.0420
0.9,1.901802512,0.0420
0.9,1.916909818,0.0430
0.9,1.932017124,0.0430
0.9,1.947124429,0.0420
0.9,1.962231735,0.0430
0.9,1.977339041,0.0440
0.9,1.992446347,0.0440
0.9,2.007553653,0.0460
0.9,2.022660959,0.0460
0.9,2.037768265,0.0440
0.9,2.052875571,0.0420
0.9,2.067982876,0.0440
0.9,2.083090182,0.0420
0.9,2.098197488,0.0410
0.9,2.113304794,0.0420
0.9,2.1284121,0.0420
0.9,2.143519406,0.0400
0.9,2.158626712,0.0410
0.9,2.173734017,0.0410
0.9,2.188841323,0.0400
0.9,2.203948629,0.0420
0.9,2.219055935,0.0420
0.9,2.234163241,0.0410
0.9,2.249270547,0.0410
0.9,2.264377853,0.0400
0.9,2.279485158,0.0400
0.9,2.294592464,0.0370
0.9,2.30969977,0.0370
0.9,2.324807076,0.0340
0.9,2.339914382,0.0320
0.9,2.355021688,0.0310
0.9,2.370128994,0.0310
0.9,2.385236299,0.0320
0.9,2.400343605,0.0350
0.9,2.415450911,0.0380
0.9,2.430558217,0.0410
0.9,2.445665523,0.0450
0.9,2.460772829,0.0470
0.9,2.475880135,0.0470
0.9,2.490987441,0.0500
0.9,2.506094746,0.0530
0.9,2.521202052,0.0570
0.9,2.536309358,0.0610
0.9,2.551416664,0.0640
0.9,2.56652397,0.0640
0.9,2.581631276,0.0640
0.9,2.596738582,0.0660
0.9,2.611845887,0.0640
0.9,2.626953193,0.0640
0.9,2.642060499,0.0620
0.9,2.657167805,0.0600
0.9,2.672275111,0.0570
0.9,2.687382417,0.0560
1,1.250130648,0.0726
1,1.264979546,0.0705
1,1.279828444,0.0710
1,1.294677342,0.0705
