x,y,dz
4573670,5304460,0.23900
4573670,5304500,0.27900
4573670,5304540,0.13300
4573670,5304430,-0.23700
4573670,5304390,-0.86900
4573660,5304460,-0.12600
4573660,5304490,0.23000
4573650,5304530,0.29500
4573650,5304610,-1.00000
4573650,5304570,-0.15100
4573630,5304640,-1.13000
4573660,5304420,-0.78400
4573640,5304450,-0.81000
4573640,5304490,-0.15300
4573640,5304520,0.23800
4573640,5304560,0.24900
4573640,5304600,-0.50100
4573610,5304680,-1.11000
4573620,5304630,-0.87300
4573630,5304480,-0.43100
4573630,5304520,-0.02700
4573630,5304550,0.22300
4573620,5304590,0.07000
4573610,5304630,-0.19600
4573600,5304710,-0.99000
4573600,5304670,-1.07000
4573610,5304510,-0.17800
4573610,5304550,0.18200
4573610,5304580,0.22600
4573590,5304620,0.23000
4573590,5304660,-0.32500
4573580,5304750,-0.66200
4573580,5304700,-1.01000
4573560,5304780,-0.34300
4573600,5304540,0.18000
4573600,5304580,0.47700
4573580,5304610,0.91100
4573570,5304660,0.32300
4573570,5304700,-0.38500
4573560,5304740,-0.89300
4573540,5304820,0.06500
4573540,5304780,-0.58200
4573590,5304570,0.63900
4573570,5304610,1.05000
4573560,5304650,1.12000
4573550,5304690,0.33600
4573550,5304730,-0.41800
4573520,5304850,0.40500
4573530,5304770,-0.37600
4573530,5304810,-0.27700
4573500,5304890,0.64800
4573550,5304640,1.06000
4573540,5304680,1.11000
4573540,5304730,0.37700
4573510,5304850,0.13400
4573520,5304760,0.38200
4573510,5304800,-0.34600
4573490,5304920,0.83500
4573490,5304880,0.46000
4573530,5304680,0.89000
4573520,5304720,1.00000
4573500,5304840,-0.13800
4573500,5304760,0.70800
4573500,5304800,0.33600
4573470,5304960,0.89900
4573470,5304920,0.81200
4573480,5304880,0.09700
4573510,5304710,0.51200
4573480,5304830,0.24300
4573490,5304750,-0.04400
4573490,5304790,0.46300
4573450,5304990,0.92000
4573460,5304950,0.93100
4573460,5304910,0.37200
4573460,5304870,0.17000
4573470,5304830,-0.05200
4573470,5304780,-0.52900
4573440,5305020,0.85500
4573440,5304980,0.99300
4573440,5304950,0.46500
4573450,5304910,-0.12100
4573450,5304860,-0.46800
4573450,5304820,-1.10000
4573420,5305050,0.84200
4573430,5305010,0.92000
4573410,5305080,0.82400
4573430,5304980,0.52100
4573430,5304940,-0.25800
4573430,5304900,-0.96600
4573440,5304860,-1.54000
4573400,5305110,0.77500
4573410,5305040,0.85500
4573410,5305010,0.50500
4573400,5305070,0.75200
4573410,5304970,-0.38700
4573410,5304930,-1.19000
4573420,5304890,-1.66000
4573380,5305140,0.68300
4573380,5305100,0.56700
4573400,5305040,0.44200
4573400,5305000,-0.53100
4573380,5305070,0.31800
4573400,5304970,-1.40000
4573400,5304930,-1.70000
4573370,5305170,0.46300
4573370,5305130,0.41500
4573370,5305100,0.09400
4573390,5305030,-0.67500
4573390,5305000,-1.43000
4573370,5305060,-0.79000
4573390,5304960,-1.60000
4573360,5305200,0.24300
4573360,5305170,0.30300
4573360,5305130,-0.06000
4573360,5305090,-0.84600
4573370,5305030,-1.40000
4573370,5304990,-1.44000
4573360,5305060,-1.34000
4573340,5305230,-0.01100
4573340,5305200,0.14900
4573340,5305160,-0.07800
4573340,5305120,-0.83200
4573350,5305090,-1.12000
4573360,5305020,-1.31000
4573350,5305050,-1.06000
4573330,5305260,-0.28600
4573330,5305230,0.00900
4573330,5305190,-0.11700
4573330,5305150,-0.83400
4573330,5305120,-0.97800
4573330,5305080,-0.98800
4573320,5305300,-0.60700
4573320,5305260,-0.14300
4573310,5305330,-0.93800
4573320,5305220,-0.13100
4573320,5305190,-0.58300
4573320,5305150,-0.75100
4573320,5305110,-0.68400
4573300,5305360,-1.10000
4573310,5305290,-0.28800
4573310,5305250,-0.14200
4573290,5305320,-0.43200
4573300,5305220,-0.51600
4573300,5305180,-0.56400
4573310,5305140,-0.46400
4573280,5305390,-1.20000
4573280,5305350,-0.58000
4573290,5305280,-0.13200
4573290,5305250,-0.35000
4573280,5305310,-0.13200
4573290,5305210,-0.34900
4573290,5305170,-0.29300
4573270,5305420,-1.19000
4573270,5305380,-0.72500
4573270,5305350,-0.16100
4573280,5305280,-0.19000
4573280,5305240,-0.17400
4573270,5305310,-0.02400
4573280,5305200,-0.12300
4573260,5305450,-1.12000
4573250,5305410,-0.84200
4573250,5305380,-0.24300
4573250,5305340,0.14800
4573260,5305270,-0.01100
4573260,5305240,0.07400
4573250,5305300,0.17500
4573240,5305480,-1.02000
4573240,5305440,-0.87600
4573240,5305410,-0.31200
4573240,5305370,0.28000
4573240,5305330,0.36400
4573250,5305270,0.24700
4573240,5305300,0.47600
4573230,5305510,-0.88100
4573230,5305470,-0.85500
4573230,5305440,-0.35400
4573230,5305400,0.37500
4573220,5305360,0.54900
4573220,5305330,0.60000
4573210,5305550,-0.70700
4573210,5305510,-0.79800
4573210,5305470,-0.36000
4573200,5305590,-0.53200
4573180,5305620,-0.35500
4573210,5305430,0.43500
4573210,5305390,0.69700
4573210,5305360,0.75200
4573200,5305540,-0.68800
4573200,5305500,-0.34000
